Topic,Article_Name
1,Call for Speculative ICCC,Exploration of the Future of Co-Creative Systems Through Collaborative Speculative Design Practices,Public Interest Technology Indian Megacities,conversations with the news co-speculation into conversational interactions with news content,design ideation with ai-sketching thinking and talking with generative machine learning models,designing with ai- a user study to explore the future role of ai as a collaborative tool in graphics design,drinking chai with your (ai) programming partner a design fiction about generative ai for software engineering,generative ai futures a speculative design exploration,how to use generative ai as a design material for future human-computer (co-) creation,humans will lose proper imagination unconsciously,machine talking speculative conversations with ai through practice-oriented research,objective portrait a practice-based inquiry to explore al as a reflective design partner,speculative mobility exploring sustainability-driven scenarios for future car owners,user perspectives of the ethical dilemmas of ownership accountability leadership in human-ai co-creation
2,Lonely Road Maison 2021 preprint,experiential speculation in vision-based ai design education designing conventional and progressive ai futures,from critical technical practice to reflexive data science,imagining the future of creative ai tools a cospeculative workshop,speculation forms and functions,unpredictable memes speculative futures of meme creators ownership through the lens of disruptive technologies
3,World Yearbook of Education 2024 Digi... (Z-Library) (dragged),deepfakes in india from words for the lies to the faces for the lies,festforward participatory design futuring and world-building for equitable digital futures in performing arts festivals,intelligent music performance system towards a design framework,lost in the logistical funhouse speculative design as synthetic media enterprise,on the integration of machine agents into live coding,participatory conceptual design of accessible digital musical instruments using generative ai
4,"Exploring the Human-AI Nexus- A Friendly Dispute Between Second-Order Cybernetical Ethical Thinking and Questions of AI Ethics","Instituting socio-technical education futures encounters with through technical democracy, data justice, and imaginaries","_explorers of unknown planets practices and politics of artificial intelligence in visual arts","ai in the public eye investigating public ai literacy through ai art","dreams for digital spaces symposium paper what shapes the worlds of children educators and researchers","nishant shah","writers want ai collaborators to respect their personal values and writing strategies a human-centered perspective on ai co-writing"
5,A Speculative Exploration of the Role of Dialogue in Human-Computer Co-creation,Algorithmic Abduction Robots,ai-generated dance and the subjectivity challenge,embodying an interactive ai for dance through movement ideation,from ban it till we understand it to resistance is futile how university programming instructors plan to adapt as more students use ai code generation and,hidden layer interaction a co-creative design fiction for generative models,machines for living,muGen â€” Generative AI as Machinic Exploration of Cultural Archives,rendering a better future (L Shape),synthetic ethnography field devices for the qualitative study of generative models,unreliable narrator reparative approaches to harmful biases in ai storytelling for the he classroom and future creative industries,when happy accidents spark creativity bringing collaborative speculation to life with generative ai
6,artistic fusion- exploring the potential of ai-generated artwork in enabling creative expression with people with intellectual disabilities,memento flori speculative design approaches to memorials of the future,memory manipulations in extended reality,message ritual a posthuman account of living with lamp,metaverse perspectives from japan a participatory speculative design case study,miracle machine in the making soulful speculation with kabbalah,nine potential pitfalls when designing human-ai co-creative systems,responsible language technologies foreseeing and mitigating harms,the entoptic field camera as metaphor-driven research-through-design with ai technologies,the future of generative ai how genai would change human-computer co-creation in the next 10 to 15 years,what is human-centered about human-centered ai a map of the research landscape
7,ahrc design fellows challenges of the future ai data,filmmaking of the future a co-design-led investigation into the potential of immersive technologies to enhance the small and medium audiovisual production,its like the value system in the loop domain experts values expectations for nlp automation
8,Investigating Consumer Perception and Speculative AI Labels for Creative AI Usage In Media,Predictive or Imaginative Futures,The Future of HCI-Policy Collaboration
9,Artificial Intelligence and Creativity,boosting children's creativity through creative interactions with social robots,sparking creativity with robots a design perspective
10,probing respiratory care with generative deep learning,prototyping relational things that talk a discursive design strategy for conversational ai systems
